cgpa,package
5.0,2.5
5.16,4.19
5.32,4.13
5.33,3.9
5.49,3.84
5.5,3.6
5.66,3.54
5.82,3.48
5.83,5.0
5.99,4.94
6.0,4.7
6.16,4.64
6.32,4.58
6.33,4.35
6.49,4.29
6.5,5.8
6.66,5.74
6.82,5.68
6.83,5.45
6.99,5.39
7.0,5.15
7.16,5.09
7.32,6.78
7.33,6.55
7.49,6.49
7.5,6.25
7.66,6.19
7.82,6.13
7.83,5.9
7.99,7.59
8.0,7.35
8.16,7.29
8.32,7.23
8.33,7.0
8.49,6.94
8.5,6.7
8.66,8.39
8.82,8.33
8.83,8.1
8.99,8.04
9.0,7.8
9.16,7.74
9.32,7.68
9.33,9.2
9.49,9.14
9.5,8.9
9.66,8.84
9.82,8.78
9.83,8.55
9.99,8.49
5.0,4.0
5.16,3.94
5.32,3.88
5.33,3.65
5.49,3.59
5.5,3.35
5.66,3.29
5.82,4.98
5.83,4.75
5.99,4.69
6.0,4.45
6.16,4.39
6.32,4.33
6.33,4.1
6.49,5.79
6.5,5.55
6.66,5.49
6.82,5.43
6.83,5.2
6.99,5.14
7.0,4.9
7.16,6.59
7.32,6.53
7.33,6.3
7.49,6.24
7.5,6.0
7.66,5.94
7.82,5.88
7.83,7.4
7.99,7.34
8.0,7.1
8.16,7.04
8.32,6.98
8.33,6.75
8.49,6.69
8.5,8.2
8.66,8.14
8.82,8.08
8.83,7.85
8.99,7.79
9.0,7.55
9.16,7.49
9.32,9.18
9.33,8.95
9.49,8.89
9.5,8.65
9.66,8.59
9.82,8.53
9.83,8.3
9.99,9.99
